actor_id,actor_name,distance
nm2018237,Taylor Kitsch,0.03500418072567213
nm1165110,Chris Hemsworth,0.053414613481432394
nm2207222,Scott Eastwood,0.06564681569768638
nm0262635,Chris Evans,0.0681564255306496
nm0000606,Jean Reno,0.07094840663348345
nm0219939,Danny Denzongpa,0.07566367869403723
nm1679372,Sudeep,0.07566367869403723
nm0186988,Wayne Crawford,0.0768138176550045
nm1572716,Danila Kozlovskiy,0.0768138176550045
nm0425005,Dwayne Johnson,0.07769642111314656
